Teams;Elo Rating
Shakhter;0
Tîrgu Mureş;15.9948
Arouca;0
Real Madrid;1351.7989295487807
Győr;0
Torino;771.4073375420132
Basel;900.0785333207552
Sassuolo;0
Diósgyőr;0
Hoffenheim;0
Gabala;0
Anderlecht;445.32649570145315
Ruch;0
H. Beer-Sheva;118.86649276105743
Olimpija Ljubljana;274.5563700401824
Real Sociedad;267.0377002209956
Kuban;414.07435162550644
Keşla;68.5804255085661
Dinamo Minsk;0.0
Folgore;0
Sutjeska;0
Udinese;21.882209388639055
Randers;0
Liverpool;877.0795726304102
Wolfsburg;1347.5299595973022
Sheriff;0
Young Boys;382.3968339110732
Hull;-140.3484706955845
Aktobe;34.26195296118033
Hibernians;0
Luzern;0
Paris;978.1845709727902
Man. United;517.9804966527411
Spartaks Jūrmala;9.923013091116026
Bayern;1240.2176550186055
Gefle;0
Astra;0.9265653140303414
Beitar Jerusalem;133.47203528457385
Viitorul;0
Tromsø;0
Celtic;203.20547697595566
Differdange;-50.5588
Roma;1161.2593902877666
Napoli;404.34884379956145
Lazio;379.8115488515197
Zlín;0
Atlético;930.5445882018796
Vitesse;85.8383632862212
Daugava Daugavpils;0
Zrinjski;46.71268722205269
Ventspils;0
Juventus;1497.2860574155397
Monaco;330.90376102521464
Charleroi;0
Petrolul;0
Marseille;128.58543073645086
Crvena zvezda;73.71131163934447
Östersund;348.7378028014459
Banants;-1.2660999999999998
Shakhtyor;0
Dinamo Bucureşti;0
Häcken;0
AaB;0
Bnei Yehuda;332.8421861480546
Dynamo Kyiv;554.5925715885492
Zürich;154.04679299965903
Sevilla;971.9521097565281
Ružomberok;0
Partizani;0
Široki Brijeg;0
Athletic;446.70946643826323
Milan;150.5316121515227
Wigan;0
Fenerbahçe;507.141650637177
Titograd;0
Maribor;377.57178720428243
Lugano;-107.29750898394161
Rio Ave;60.60521100016868
St Patrick's;0
HJK;0
Rostov;925.8367612427359
BATE;7.723998411785303
Panathinaikos;0
Belenenses;163.85112144512033
Standard Liège;0
Dortmund;276.86497556767534
Beşiktaş;819.0245185313086
Club Brugge;0
Slavia Praha;30.49885894284598
Esbjerg;82.23497810706306
Shirak;0.0
Torpedo Zhodino;68.64350342407218
Rosenborg;120.35199504568047
Split;0
İstanbul Başakşehir;157.0863366042597
HB;0
Altach;139.80821392701029
AEK;14.67846487514467
Swansea;142.4158778135971
Debrecen;0
AEL;129.64533915419685
Krasnodar;48.35184924929791
Linfield;0
M. Haifa;0
Motherwell;0
Honvéd;0
Neftçi;0
Dudelange;0
Augsburg;0
Legia;428.3428953672685
Valletta;0
Bordeaux;0
Xanthi;0
St Pölten;0
Malmö;0
Vaduz;1.1035028089538303
Kalju;0
Astana;404.7990872325814
Olympiacos;182.98990549681827
Benfica;242.72694072206988
Plzeň;0
Southampton;198.60955012824215
Oostende;57.28120045229036
EB/Streymur;0
Rudar Pljevlja;0
Vojvodina;58.83105149397728
Salzburg;157.80061585300163
Lokomotiv Moskva;0
Giannina;0
Vitória SC;39.61980206344838
Stuttgart;55.56542581670047
Heracles;0.0
Atromitos;0
Utrecht;39.54288808201636
Man. City;499.86189199161976
Domžale;11.4218871548795
Slovan Bratislava;0
Shakhtar Donetsk;653.8608568310502
Frankfurt;739.8192378614301
Zenit;411.86801462036254
Mönchengladbach;1015.3859070680278
Pasching;0
Pyunik;-254.61152313180858
La Fiorita;0.0
St-Étienne;269.7093676984331
Köln;6.70117361495997
Ekranas;0
AEK Larnaca;24.173981450437026
Arsenal;1125.569012139841
Göteborg;0
Milsami;25.894102493036513
Olimpik Donetsk;0
Nordsjælland;0
Brøndby;0
Metalist;0
Fola;0
Sion;0
Admira;0
H. Kiryat Shmona;0
Budućnost Podgorica;0
Internazionale;312.825170585076
Tre Penne;0
Lyon;827.9432471073874
Ermis;0
Porto;663.8949642729868
Dnipro;44.81064827969671
Žilina;294.970387276332
Zimbru;0
Arka;0
Vardar;0
Dinamo Zagreb;230.27809413936419
Estoril;0.0
FH;0
PAOK;0
Guingamp;0
Schalke;934.6972247962153
Nice;48.54655718245742
Europa;0
Metalurh Donetsk;-4.437099999999999
FCSB;0
Omonia;0.0
Jablonec;150.3144225548064
Aberdeen;0
Lokeren;314.1192094044271
Birkirkara;0
Cork;0
Leverkusen;974.9777480207208
Galatasaray;407.8544564141577
Karabükspor;0
Everton;-70.16218302945533
FCI;0
Celta;509.97205531891296
Hajduk Split;143.1657846283991
Rabotnicki;0
Cliftonville;0
Groningen;68.04502705442734
Lusitans;0
Trepça’89;0
Flora;0
Vorskla;0
Stjarnan;0
Gent;600.1300050799578
Lyngby;0
Betis;474.4518826668918
Mainz;195.01370748368828
Sligo;0
SJK;146.9123265713319
Vikingur;0
Dinamo Tbilisi;0
Partizan;143.22197170730055
Freiburg;16.181272844921864
Sūduva;98.90003578775591
Botev Plovdiv;0
Chelsea;912.7539933116634
Grasshoppers;0.0
Lincoln Red Imps;0
Sturm;131.126085997389
Liberec;224.02688040282456
Sporting CP;550.5292754313197
Trabzonspor;7.581751507651209
Grödig;-20.4445
M. Tel-Aviv;129.8194507493432
Trakai;0
Spartak Moskva;257.917515075945
CSKA Moskva;536.1175607507316
KR;0
Lokomotiva Zagreb;0
Universitatea Craiova;0
Samtredia;0
Breidablik;-11.592699999999999
Villarreal;184.2862138478973
Spartak Trnava;0
Zorya;0
SønderjyskE;134.1462284748231
Odd;111.94471240807826
Crusaders;0
Zagłębie;4.491597257480906
Sparta Praha;0
Vidi;0
AIK;0
St Gallen;0
Molde;0.0
Hertha;25.960950496626
Trenčín;34.12577722582921
Ajax;55.071080692577674
Lech;0
H. Tel-Aviv;0
Nacional;0
Bursaspor;0
Rubin;23.00364139301711
Braga;-221.39434862963026
Twente;93.82680144762134
Paços Ferreira;0
Osijek;44.280303272753585
Valencia;38.66611879579614
Elfsborg;51.93608594579783
Kairat;35.54991974487534
FC Santa Coloma;0.0
Ludogorets;592.5047010691469
Zulte Waregem;0
Shkëndija;0
St Johnstone;12.95067183792604
Rijeka;0
Norrköping;11.940399999999999
Osmanlıspor;91.74105024062072
West Ham;0
Skënderbeu;10.23964036815913
Alashkert;0
Liepāja;0
Marítimo;35.54624296256689
Dundalk;0
Qarabağ;283.7388936422903
Atalanta;518.7106936258906
Wolfsberg;0
Rapid Wien;419.68698885431445
