Teams;Elo Rating
Shakhter;1388.6523770338947
Tîrgu Mureş;1550.6773159870675
Arouca;1258.775510588293
Real Madrid;2369.857473202377
Győr;1339.2281124703577
Torino;1900.8147868539677
Basel;1998.6212537356275
Sassuolo;1580.9988615927691
Diósgyőr;1339.5
Hoffenheim;1364.2471269841444
Gabala;978.4546284689524
Anderlecht;1645.6422004269298
Ruch;1398.6993723297776
H. Beer-Sheva;1599.451124404576
Olimpija Ljubljana;1707.3900085083924
Real Sociedad;1575.2336025542706
Kuban;1758.8156431607292
Keşla;1444.7755488804887
Dinamo Minsk;1214.727291980287
Folgore;1295.8027439057364
Sutjeska;1175.9327458651362
Udinese;1616.8027439057364
Randers;1339.5
Liverpool;1980.8732098664132
Wolfsburg;2174.8581049312197
Sheriff;1219.0029166838794
Young Boys;1624.333643685925
Hull;1703.0302946494994
Aktobe;1390.802215233
Hibernians;1462.7747173675973
Luzern;1339.5
Paris;1872.7624570072949
Man. United;1738.6201406143193
Spartaks Jūrmala;1420.6892812263159
Bayern;2232.8526755798866
Gefle;1339.5
Astra;1371.6807339255895
Beitar Jerusalem;1687.6151194507695
Viitorul;1455.3412580137976
Tromsø;1183.0494481661037
Celtic;1365.5600035983962
Differdange;1660.5
Roma;2276.4045821031805
Napoli;1510.138045184297
Lazio;1633.8135195706786
Zlín;1223.8615408189548
Atlético;1962.7177446555384
Vitesse;1566.3535031558108
Daugava Daugavpils;1173.7242919954965
Zrinjski;1318.6148063796873
Ventspils;1090.4725476433243
Juventus;2492.5929364909257
Monaco;1516.4704016142532
Charleroi;1220.1427544077596
Petrolul;1401.8601561318992
Marseille;1444.7430158712266
Crvena zvezda;1375.1781040990656
Östersund;1754.5658704523444
Banants;1616.8027439057364
Shakhtyor;1346.9897474377374
Dinamo Bucureşti;1423.744514631488
Häcken;1339.5
AaB;1512.5472566304543
Bnei Yehuda;1740.379926719658
Dynamo Kyiv;1701.2552841431466
Zürich;1518.407560240232
Sevilla;2150.58843305669
Ružomberok;1429.3131734007723
Partizani;1395.5851538548438
Široki Brijeg;1339.5
Athletic;1839.9278962573626
Milan;1600.9195622709265
Wigan;1288.6414728679101
Fenerbahçe;1680.1549361606408
Titograd;1091.3811613826492
Maribor;1658.2153376903968
Lugano;1665.9240522127104
Rio Ave;1571.7695838465258
St Patrick's;1447.141666746581
HJK;1434.349944834407
Rostov;2029.0451178198548
BATE;1614.679437799221
Panathinaikos;1239.4782388799936
Belenenses;1638.706322290905
Standard Liège;1469.6287481987288
Dortmund;1589.1988059312696
Beşiktaş;1957.9777423269616
Club Brugge;1295.8399180787837
Slavia Praha;1479.8742734834123
Esbjerg;1706.4122409319211
Shirak;1460.7228866647165
Torpedo Zhodino;1477.6706920069719
Rosenborg;1614.8059407590758
Split;1441.4222991696715
İstanbul Başakşehir;1665.1915506200799
HB;1277.1832571165394
Altach;1742.743251159964
AEK;1392.8190171759347
Swansea;1237.362741093725
Debrecen;1272.458276510043
AEL;1352.332396943396
Krasnodar;1571.1464081810445
Linfield;1404.0296917584208
M. Haifa;1486.2047235757288
Motherwell;1295.8027439057364
Honvéd;1443.2824314999377
Neftçi;1256.7512293671668
Dudelange;1368.6160044300182
Augsburg;1531.8819468973534
Legia;1820.1841558173103
Valletta;1040.4531302538135
Bordeaux;1296.545250346811
Xanthi;1339.5
St Pölten;1260.3683953196066
Malmö;1240.0548351013397
Vaduz;1451.4106350273019
Kalju;1405.9256451155743
Astana;1809.1758275433044
Olympiacos;1704.0102025621186
Benfica;1415.830362894291
Plzeň;1406.0705380771892
Southampton;1520.7664013152155
Oostende;1563.1875950280987
EB/Streymur;1278.1043243181887
Rudar Pljevlja;1354.0928590798212
Vojvodina;1551.8602019964312
Salzburg;1869.083085768435
Lokomotiv Moskva;1567.1226021987434
Giannina;1256.7554795243964
Vitória SC;1465.4109142431594
Stuttgart;1456.3027439057364
Heracles;1500.0
Atromitos;1336.6293832331226
Utrecht;1443.8344840680218
Man. City;1645.9095017917423
Domžale;1467.4926067245442
Slovan Bratislava;1360.2734100297612
Shakhtar Donetsk;1741.0666658233458
Frankfurt;1643.254662382333
Zenit;1499.9722286384235
Mönchengladbach;1896.940155367728
Pasching;1369.637573469965
Pyunik;1872.9133822894933
La Fiorita;1343.884891144476
St-Étienne;1623.059481011569
Köln;1575.8004758019867
Ekranas;1229.2928736722997
AEK Larnaca;1389.8201853130063
Arsenal;2001.4931277410944
Göteborg;1399.673672889615
Milsami;1275.956625762164
Olimpik Donetsk;1457.110236431876
Nordsjælland;1283.4114575647927
Brøndby;1483.1300960508456
Metalist;1435.5466686787793
Fola;1226.6307281335157
Sion;1452.0887339515007
Admira;1249.2615537562474
H. Kiryat Shmona;1233.919164773473
Budućnost Podgorica;1581.7713087627296
Internazionale;1503.6564426634027
Tre Penne;1289.7833942660347
Lyon;1926.081834487762
Ermis;1339.5
Porto;1899.208513059518
Dnipro;1404.4954935398905
Žilina;1608.063423480207
Zimbru;1271.4731779288927
Arka;1293.51239663091
Vardar;1397.1722203855277
Dinamo Zagreb;1540.0796486286954
Estoril;1532.9228090066472
FH;1361.4931622989266
PAOK;1373.6734510606684
Guingamp;1736.0552548673552
Schalke;2152.483542726093
Nice;1407.6348509695702
Europa;1333.834555286231
Metalurh Donetsk;1660.5
FCSB;1430.4818594801823
Omonia;1399.2714352936825
Jablonec;1629.7777594939528
Aberdeen;1191.8859557498863
Lokeren;1800.6958187246628
