Club;Score
Shakhter;0.00723462
Tîrgu Mureş;0.00159948
Arouca;-0.00000000
Real Madrid;0.44403195
Győr;0.00000000
Torino;0.01651082
Basel;0.10774098
Sassuolo;0.00546935
Diósgyőr;0.00000000
Hoffenheim;0.00255850
Gabala;0.00545269
Anderlecht;0.07276576
Ruch;0.00028716
H. Beer-Sheva;0.02122470
Olimpija Ljubljana;0.00030890
Real Sociedad;0.01786634
Kuban;0.00488668
Keşla;0.00125965
Dinamo Minsk;0.01177890
Folgore;0.00000000
Sutjeska;0.00023547
Udinese;0.00048984
Randers;-0.00000000
Liverpool;0.09383048
Wolfsburg;0.06181147
Sheriff;0.00814324
Young Boys;0.02857884
Hull;0.00047114
Aktobe;0.00123043
Hibernians;0.00186240
Luzern;0.00015815
Paris;0.20480936
Man. United;0.11615659
Spartaks Jūrmala;0.00127977
Bayern;0.29614834
Gefle;0.00000000
Astra;0.01990400
Beitar Jerusalem;0.00079974
Viitorul;0.00323441
Tromsø;0.00536622
Celtic;0.05479608
Differdange;0.00031034
Roma;0.10895159
Napoli;0.08340296
Lazio;0.03965109
Zlín;0.00155308
Atlético;0.29451427
Vitesse;0.00201399
Daugava Daugavpils;0.00000000
Zrinjski;0.00298476
Ventspils;0.00070104
Juventus;0.30195658
Monaco;0.12634526
Charleroi;0.00000000
Petrolul;0.00324024
Marseille;0.01654033
Crvena zvezda;0.01623044
Östersund;0.01281818
Banants;0.00000777
Shakhtyor;0.00024171
Dinamo Bucureşti;0.00125965
Häcken;-0.00000000
AaB;0.00836652
Bnei Yehuda;0.00546503
Dynamo Kyiv;0.05459337
Zürich;0.01168399
Sevilla;0.15082726
Ružomberok;0.00000000
Partizani;0.00078873
Široki Brijeg;-0.00000000
Athletic;0.04356270
Milan;0.03339609
Wigan;0.00252353
Fenerbahçe;0.04013457
Titograd;-0.00000000
Maribor;0.03385712
Lugano;0.00618107
Rio Ave;0.00211939
St Patrick's;0.00102675
HJK;0.00964523
Rostov;0.03855685
BATE;0.02280243
Panathinaikos;0.00626916
Belenenses;0.00720112
Standard Liège;0.01108027
Dortmund;0.15234527
Beşiktaş;0.08871908
Club Brugge;0.02370920
Slavia Praha;0.00960893
Esbjerg;0.00666181
Shirak;0.00131765
Torpedo Zhodino;0.00076419
Rosenborg;0.02064696
Split;0.00077782
İstanbul Başakşehir;0.01261417
HB;0.00027753
Altach;0.00414624
AEK;0.01093601
Swansea;0.00627681
Debrecen;0.00215047
AEL;0.00615668
Krasnodar;0.02718565
Linfield;0.00000000
M. Haifa;0.00347609
Motherwell;0.00000000
Honvéd;-0.00000000
Neftçi;0.00039688
Dudelange;0.00289343
Augsburg;0.00616246
Legia;0.03550835
Valletta;0.00000000
Bordeaux;0.00657425
Xanthi;0.00000000
St Pölten;0.00000000
Malmö;0.02424440
Vaduz;0.00021943
Kalju;0.00083670
Astana;0.04425847
Olympiacos;0.10042954
Benfica;0.14893341
Plzeň;0.04773816
Southampton;0.00477370
Oostende;0.00047828
EB/Streymur;-0.00000000
Rudar Pljevlja;0.00142918
Vojvodina;0.00179727
Salzburg;0.06115651
Lokomotiv Moskva;0.01802825
Giannina;-0.00000000
Vitória SC;0.00621177
Stuttgart;0.00053767
Heracles;0.00000000
Atromitos;0.00110605
Utrecht;0.00575594
Man. City;0.18182801
Domžale;0.00065527
Slovan Bratislava;0.00523228
Shakhtar Donetsk;0.09139813
Frankfurt;0.01980812
Zenit;0.09449920
Mönchengladbach;0.05430914
Pasching;0.00000000
Pyunik;0.00149550
La Fiorita;-0.00000000
St-Étienne;0.02765756
Köln;0.00964207
Ekranas;-0.00000000
AEK Larnaca;0.00332584
Arsenal;0.14392468
Göteborg;0.00368567
