Home Team;Away Team;Result
Motherwell;Kuban;Loss
Estoril;H. Ramat Gan;Draw
Hajduk Split;Dila;Loss
Sevilla;Titograd;Win
Žilina;Rijeka;Draw
Dila;Hajduk Split;Win
Rubin;Randers;Win
Astra;Trenčín;Draw
Metalurh Donetsk;Kukës;Win
M. Haifa;Ventspils;Win
H. Ramat Gan;Estoril;Loss
Gefle;Qarabağ;Loss
Milsami;St-Étienne;Loss
Kuban;Motherwell;Win
H. Tel-Aviv;Pandurii;Loss
Lech;Žalgiris;Win
Thun;Häcken;Win
Bursaspor;Vojvodina;Loss
Differdange;Tromsø;Win
Zürich;Liberec;Loss
Malmö;Swansea;Draw
Strømsgodset;Jablonec;Loss
Vitesse;Petrolul;Loss
Trabzonspor;Dinamo Minsk;Draw
Stuttgart;Botev Plovdiv;Draw
Standard Liège;Xanthi;Win
Rapid Wien;Asteras;Win
Titograd;Sevilla;Loss
Crvena zvezda;Chornomorets Odesa;Draw
St Johnstone;Minsk;Loss
Club Brugge;Śląsk;Draw
Udinese;Široki Brijeg;Win
Breidablik;Aktobe;Win
Aktobe;Dynamo Kyiv;Loss
Dinamo Tbilisi;Tottenham;Loss
Jablonec;Betis;Loss
Qarabağ;Frankfurt;Loss
Kuban;Feyenoord;Win
M. Haifa;Astra;Win
Minsk;Standard Liège;Loss
Atromitos;AZ;Loss
Kalju;Dnipro;Loss
Esbjerg;St-Étienne;Win
Molde;Rubin;Loss
St Gallen;Spartak Moskva;Draw
Salzburg;Žalgiris;Win
Kukës;Trabzonspor;Loss
Elfsborg;Nordsjælland;Draw
FH;Genk;Loss
Apollon;Nice;Win
Pandurii;Braga;Loss
Tromsø;Beşiktaş;Win
Swansea;Petrolul;Win
M. Tel-Aviv;PAOK;Draw
Partizan;Thun;Win
Vojvodina;Sheriff;Draw
Chornomorets Odesa;Skënderbeu;Win
Rijeka;Stuttgart;Win
Udinese;Liberec;Loss
Zulte Waregem;APOEL;Draw
Grasshoppers;Fiorentina;Loss
Rapid Wien;Dila;Win
Estoril;Pasching;Win
Sevilla;Śląsk;Win
PAOK;M. Tel-Aviv;Draw
Rubin;Molde;Win
Spartak Moskva;St Gallen;Loss
Astra;M. Haifa;Draw
Stuttgart;Rijeka;Draw
Nordsjælland;Elfsborg;Loss
Dynamo Kyiv;Aktobe;Win
Dila;Rapid Wien;Loss
Trabzonspor;Kukës;Win
Liberec;Udinese;Draw
St-Étienne;Esbjerg;Loss
Sheriff;Vojvodina;Win
APOEL;Zulte Waregem;Loss
Petrolul;Swansea;Win
Beşiktaş;Tromsø;Win
Thun;Partizan;Win
Skënderbeu;Chornomorets Odesa;Win
Genk;FH;Win
Nice;Apollon;Win
Dnipro;Kalju;Win
Pasching;Estoril;Loss
Standard Liège;Minsk;Win
Frankfurt;Qarabağ;Win
Žalgiris;Salzburg;Loss
Śląsk;Sevilla;Loss
Fiorentina;Grasshoppers;Loss
Feyenoord;Kuban;Loss
Tottenham;Dinamo Tbilisi;Win
Betis;Jablonec;Win
Braga;Pandurii;Loss
AZ;Atromitos;Loss
St Gallen;Kuban;Win
Valencia;Swansea;Loss
PSV;Ludogorets;Loss
Dinamo Zagreb;Chornomorets Odesa;Loss
Standard Liège;Esbjerg;Loss
Salzburg;Elfsborg;Win
Maribor;Rubin;Loss
Zulte Waregem;Wigan;Draw
Pandurii;Dnipro;Loss
Fiorentina;Paços Ferreira;Win
M. Tel-Aviv;APOEL;Draw
Frankfurt;Bordeaux;Win
Thun;Rapid Wien;Win
Dynamo Kyiv;Genk;Loss
Estoril;Sevilla;Loss
Freiburg;Liberec;Draw
Vitória SC;Rijeka;Win
Betis;Lyon;Draw
Lazio;Legia;Win
Apollon;Trabzonspor;Loss
Tottenham;Tromsø;Win
Sheriff;Anji;Draw
M. Haifa;AZ;Loss
PAOK;Shakhter;Win
Kuban;Valencia;Loss
Rubin;Zulte Waregem;Win
Anji;Tottenham;Loss
Shakhter;M. Haifa;Draw
Genk;Thun;Win
Rapid Wien;Dynamo Kyiv;Draw
Liberec;Estoril;Win
Sevilla;Freiburg;Win
Lyon;Vitória SC;Draw
Rijeka;Betis;Draw
Trabzonspor;Lazio;Draw
Legia;Apollon;Loss
Tromsø;Sheriff;Draw
AZ;PAOK;Draw
Swansea;St Gallen;Win
Chornomorets Odesa;PSV;Loss
Ludogorets;Dinamo Zagreb;Win
Elfsborg;Standard Liège;Draw
Esbjerg;Salzburg;Loss
Wigan;Maribor;Win
Paços Ferreira;Pandurii;Draw
Dnipro;Fiorentina;Loss
Bordeaux;M. Tel-Aviv;Loss
APOEL;Frankfurt;Loss
Anji;Tromsø;Win
Shakhter;AZ;Draw
Dynamo Kyiv;Thun;Win
Genk;Rapid Wien;Draw
Freiburg;Estoril;Draw
Liberec;Sevilla;Draw
Betis;Vitória SC;Win
Lyon;Rijeka;Win
Apollon;Lazio;Draw
Trabzonspor;Legia;Win
Sheriff;Tottenham;Loss
PAOK;M. Haifa;Win
Valencia;St Gallen;Win
Swansea;Kuban;Draw
Dinamo Zagreb;PSV;Draw
Chornomorets Odesa;Ludogorets;Loss
Salzburg;Standard Liège;Win
Elfsborg;Esbjerg;Loss
Zulte Waregem;Maribor;Loss
Wigan;Rubin;Draw
Fiorentina;Pandurii;Win
Paços Ferreira;Dnipro;Loss
Frankfurt;M. Tel-Aviv;Win
Bordeaux;APOEL;Win
Kuban;Swansea;Draw
Rubin;Wigan;Win
St Gallen;Valencia;Loss
PSV;Dinamo Zagreb;Win
Ludogorets;Chornomorets Odesa;Draw
Standard Liège;Salzburg;Loss
Esbjerg;Elfsborg;Win
Maribor;Zulte Waregem;Loss
Pandurii;Fiorentina;Loss
Dnipro;Paços Ferreira;Win
M. Tel-Aviv;Frankfurt;Win
APOEL;Bordeaux;Win
Thun;Dynamo Kyiv;Loss
Rapid Wien;Genk;Draw
Estoril;Freiburg;Draw
Sevilla;Liberec;Draw
Vitória SC;Betis;Loss
Rijeka;Lyon;Draw
Lazio;Apollon;Win
Legia;Trabzonspor;Loss
Tottenham;Sheriff;Win
Tromsø;Anji;Loss
M. Haifa;PAOK;Draw
AZ;Shakhter;Win
Shakhter;PAOK;Loss
Kuban;St Gallen;Win
Rubin;Maribor;Draw
Anji;Sheriff;Draw
Rapid Wien;Thun;Win
Genk;Dynamo Kyiv;Win
Sevilla;Estoril;Draw
Liberec;Freiburg;Loss
Rijeka;Vitória SC;Draw
Lyon;Betis;Win
